"Title","Network","Season","Meta Score","# of critics","User score","Genre","Genre 2","Permise Date","# of rating"
"Frasier","NBC",": Season 1",,90,8.3,"Comedy",,"September 16, 1993",99
"Boy Meets World","ABC",": Season 1",51,75,8.6,"Comedy",,"September 24, 1993",44
"The Larry Sanders Show","HBO",": Season 3",,90,7.3,"Comedy","Talk & Interview","June 22, 1994",26
"Weird Science","USA",": Season 1",42,80,,"Comedy",,"March 5, 1994",10
"Friends","NBC",": Season 1",59,91,8.6,"Comedy",,"September 22, 1994",540
"NewsRadio","NBC",": Season 1",,91,7.2,"Comedy",,"March 21, 1995",28
"The Larry Sanders Show","HBO",": Season 4",,90,,"Comedy","Talk & Interview","July 19, 1995",68
"Caroline in the City","NBC",": Season 1",,83,,"Comedy",,"September 21, 1995",6
"3rd Rock from the Sun","NBC",": Season 1",52,75,7.4,"Comedy","Science Fiction","January 9, 1996",62
"Everybody Loves Raymond","CBS",": Season 1",,83,8,"Comedy",,"September 13, 1996",40
"The Larry Sanders Show","HBO",": Season 5",,80,,"Comedy","Talk & Interview","November 13, 1996",36
"Sabrina, the Teenage Witch","ABC",": Season 1",,83,,"Comedy","Fantasy","September 27, 1996",66
"The Larry Sanders Show","HBO",": Season 6",,90,,"Comedy","Talk & Interview","March 15, 1998",39
"That '70s Show","FOX",": Season 1",,90,8.6,"Comedy",,"August 23, 1998",87
"Will & Grace","NBC",": Season 1",,91,7.7,"Comedy","Health & Lifestyle","September 21, 1998",54
"The King of Queens","CBS",": Season 1",51,91,8.3,"Comedy",,"September 21, 1998",54
"Malcolm in the Middle","FOX",": Season 1",,91,9,"Comedy",,"January 9, 2000",128
"Curb Your Enthusiasm","HBO",": Season 1",,91,8.5,"Comedy",,"October 15, 2000",122
"The Trade","SHOWTIME",": Season 1",,91,6.7,"News/Documentary","Documentary","February 2, 2018",18
"Marathon: The Patriot's Day Bombing","HBO",": Season 1",,91,6.1,"Movie/Mini-Series","News/Documentary","November 21, 2016",19
"Leah Remini: Scientology and the Aftermath","A&E",": Season 1",,70,8.2,"Reality","News/Documentary","November 29, 2016",30
"Beware The Slenderman","HBO",": Season 1",,83,,"Movie/Mini-Series","Documentary","January 23, 2017",24
"Bright Lights: Starring Carrie Fisher and Debbie Reynolds","HBO",": Season 1",,83,6.3,"Movie/Mini-Series","Documentary","January 7, 2017",47
"TIME: The Kalief Browder Story","Spike TV",": Season 1",,90,6.8,"Movie/Mini-Series","News/Documentary","March 1, 2017",14
"American Playboy: The Hugh Hefner Story","Amazon Prime",": Season 1",43,,,"News/Documentary","Documentary","April 7, 2017",20
"Mommy Dead and Dearest","HBO",": Season 1",,75,7.8,"Movie/Mini-Series","Documentary","May 15, 2017",10
"The Keepers","Netflix",": Season 1",,91,7.7,"News/Documentary","Suspense","May 19, 2017",55
"If You're Not in the Obit, Eat Breakfast","HBO",": Season 1",,80,,"News/Documentary","Documentary","June 5, 2017",10
"The Putin Interviews","SHOWTIME",": Season 1",54,83,6.3,"News/Documentary","Talk & Interview","June 12, 2017",55
"The Defiant Ones (2017)","HBO",": Season 1",,91,7.8,"Movie/Mini-Series","Documentary","July 9, 2017",30
"The Vietnam War","PBS",": Season 1",,90,8.2,"Movie/Mini-Series","News/Documentary","September 17, 2017",73
"Spielberg","HBO",": Season 1",,83,7.2,"Movie/Mini-Series","Documentary","October 7, 2017",37
"The Problem With Apu","truTV",": Season 1",,83,,"Movie/Mini-Series","Documentary","November 19, 2017",31
"David Bowie: The Last Five Years","HBO",": Season 1",,80,7.6,"Movie/Mini-Series","News/Documentary","January 8, 2018",20
"Planet Earth: Blue Planet II","IFC,WE,AMC,BBC America,SundanceTV",": Season 1",,80,8.2,"Movie/Mini-Series","News/Documentary",,96
"Flint Town","Netflix",": Season 1",,91,,"News/Documentary","Documentary","March 2, 2018",30
"Andre the Giant","HBO",": Season 1",,88,7.2,"Movie/Mini-Series","News/Documentary","April 10, 2018",21
"Elvis Presley: The Searcher","HBO",": Season 1",,91,7.2,"Movie/Mini-Series","News/Documentary","April 14, 2018",26
"Wild Wild Country","Netflix",": Season 1",,90,7.6,"Documentary",,"March 16, 2018",61
"Evil Genius","Netflix",": Season 1",,80,7.6,"Movie/Mini-Series","News/Documentary","May 11, 2018",36
"The Fourth Estate","SHOWTIME",": Season 1",,80,,"News/Documentary","Documentary","May 27, 2018",23
"John McCain: For Whom the Bell Tolls","HBO",": Season 1",,91,,"Movie/Mini-Series","News/Documentary","May 28, 2018",28
"The Staircase [2018 Version]","Netflix",": Season 1",,91,7.6,"Movie/Mini-Series","News/Documentary","June 8, 2018",66
"Rest in Power: The Trayvon Martin Story","BET - Black Entertainment Television,Paramount Network",": Season 1",,91,,"Movie/Mini-Series","News/Documentary",,41
"Warriors of Liberty City","Starz",": Season 1",,90,,"Sports","Documentary","September 16, 2018",6
"Making a Murderer","Netflix",": Season 2",,83,9.1,"Documentary",,"October 19, 2018",178
"The Clinton Affair","A&E",": Season 1",,80,,"Movie/Mini-Series","News/Documentary","November 18, 2018",6
"The Truth About Killer Robots","HBO",": Season 1",,70,,"Movie/Mini-Series","Documentary","November 26, 2018",10
"The Innocent Man","Netflix",": Season 1",56,80,,"Reality","Documentary","December 14, 2018",15
"Conversations With a Killer: The Ted Bundy Tapes","Netflix",": Season 1",53,91,6.3,"Movie/Mini-Series","News/Documentary","January 24, 2019",32
"Fyre Fraud","HULU",": Season 1",,88,,"Movie/Mini-Series","Documentary","January 14, 2019",31
"Lorena","Prime Video",": Season 1",,80,,"Movie/Mini-Series","News/Documentary","February 15, 2019",36
"Leaving Neverland","HBO",": Season 1",,90,,"Movie/Mini-Series","Documentary","March 3, 2019",313
"The Case Against Adnan Syed","HBO",": Season 1",,80,,"Movie/Mini-Series","Documentary","March 10, 2019",28
"Homecoming: A Film by Beyoncé","Netflix",": Season 1",,91,7.9,"Movie/Mini-Series","Documentary","April 17, 2019",249
"At the Heart of Gold: Inside the USA Gymnastics Scandal","HBO",": Season 1",,90,,"Sports","Movie/Mini-Series","May 3, 2019",8
"Wu-Tang Clan: Of Mics and Men","SHOWTIME",": Season 1",,90,,"Movie/Mini-Series","Documentary","May 10, 2019",23
"The Family (2019)","Netflix",": Season 1",,83,,"Movie/Mini-Series","Documentary","August 9, 2019",12
"No One Saw a Thing","SundanceTV",": Season 1",,75,,"Movie/Mini-Series","Documentary","August 1, 2019",7
"Country Music","PBS",": Season 1",,90,7.6,"Movie/Mini-Series","Documentary","September 15, 2019",27
"Why We Hate","Discovery,The Discovery Channel HDTV (Ea",": Season 1",,80,,"Reality","Documentary",,11
"The Preppy Murder: Death in Central Park","AMC,SundanceTV",": Season 1",,80,,"Movie/Mini-Series","Documentary",,9
"The Confession Killer","Netflix",": Season 1",,80,7.2,"Movie/Mini-Series","Documentary","December 6, 2019",11
"Requiem for the Dead: American Spring 2014","HBO",": Season 1",,80,,"Movie/Mini-Series","News/Documentary","June 22, 2015",6
"Annie: It's the Hard-Knock Life, From Script to Stage","PBS",": Season 1",,91,,"News/Documentary","Documentary","June 28, 2013",11
"TWA Flight 800","Epix",": Season 1",,75,6.2,"Movie/Mini-Series","News/Documentary","July 17, 2013",11
"The Cheshire Murders","HBO",": Season 1",,90,6.8,"Documentary",,"July 22, 2013",10
"Cold Justice","TNT",": Season 1",,80,7.6,"Reality","Documentary","September 3, 2013",13
"Life According to Sam","HBO",": Season 1",,90,8.8,"Documentary",,"October 21, 2013",9
"The African Americans: Many Rivers to Cross with Henry Louis Gates, Jr.","PBS",": Season 1",,80,6.7,"Documentary",,"October 22, 2013",12
"Seduced and Abandoned","HBO",": Season 1",,91,,"Movie/Mini-Series","Documentary","October 28, 2013",13
"Time of Death","SHOWTIME",": Season 1",,90,6.7,"Documentary",,"November 1, 2013",14
"Six by Sondheim","HBO",": Season 1",,80,7.3,"Movie/Mini-Series","News/Documentary","December 9, 2013",24
"Mitt","Netflix",": Season 1",58,80,6.4,"Movie/Mini-Series","News/Documentary","January 24, 2014",32
"Lindsay","OWN",": Season 1",59,80,,"Reality","News/Documentary","March 9, 2014",15
"Years of Living Dangerously","SHOWTIME,SHO",": Season 1",,91,7.1,"News/Documentary","Documentary",,24
"Virgin Territory","MTV - Music Television",": Season 1",,91,,"Reality","News/Documentary","July 16, 2014",11
"The Chair (2014)","Starz",": Season 1",,91,8.5,"Reality","News/Documentary","September 6, 2014",19
"How We Got to Now With Steven Johnson","PBS",": Season 1",,83,7.2,"News/Documentary","Documentary","October 15, 2014",9
"Town of the Living Dead","Syfy",": Season 1",,70,6.1,"Reality","News/Documentary","October 7, 2014",16
"Foo Fighters: Sonic Highways","HBO",": Season 1",,83,8.2,"Documentary","Music","October 17, 2014",45
"Mr. Dynamite: The Rise of James Brown","HBO",": Season 1",,91,7,"Movie/Mini-Series","Documentary","October 27, 2014",18
"Regarding Susan Sontag","HBO",": Season 1",,80,,"Movie/Mini-Series","News/Documentary","December 8, 2014",6
"The Jinx: The Life and Deaths of Robert Durst","HBO",": Season 1",,91,8.2,"Movie/Mini-Series","News/Documentary","February 8, 2015",69
"Going Clear: Scientology and the Prison of Belief","HBO",": Season 1",,90,7.8,"Movie/Mini-Series","Documentary","March 29, 2015",71
"Cancer: The Emperor of  All Maladies","PBS",": Season 1",,90,7.2,"News/Documentary","Documentary","March 30, 2015",12
"Sinatra: All or Nothing at All","HBO",": Season 1",,88,6.3,"Movie/Mini-Series","News/Documentary","April 5, 2015",21
"Kurt Cobain: Montage of Heck","HBO",": Season 1",,91,7.5,"Movie/Mini-Series","News/Documentary","May 4, 2015",63
"Tig","Netflix",": Season 1",,83,,"News/Documentary","Documentary","July 17, 2015",36
"I Am Cait","E!",": Season 1",,83,,"Reality","Documentary","July 26, 2015",66
"Project Greenlight","HBO",": Season 4",,91,7.2,"Reality","Game Show","September 13, 2015",22
"The Bomb","PBS",": Season 1",,80,,"News/Documentary","Documentary","July 28, 2015",6
"Compared to What: The Improbable Journey of Barney Frank","SHOWTIME",": Season 1",55,70,,"Movie/Mini-Series","News/Documentary","October 23, 2015",5
"Breakthrough","National Geographic",": Season 1",,80,8.5,"News/Documentary","Health & Lifestyle","November 1, 2015",9
"The Spymasters - CIA in the Crosshairs","SHOWTIME",": Season 1",,90,7.6,"Movie/Mini-Series","News/Documentary","November 28, 2015",10
"The Circus: Inside the Greatest Political Show on Earth","SHOWTIME",": Season 1",,90,8.3,"News/Documentary","Documentary","January 17, 2016",9
"Making a Murderer","Netflix",": Season 1",,90,9,"Documentary",,"December 18, 2015",332
"Dark Net","SHOWTIME",": Season 1",,80,,"Reality","Documentary","January 21, 2016",17
"Chelsea Does","Netflix",": Season 1",,90,,"News/Documentary","Documentary","January 23, 2016",59
"Michael Jackson's Journey From Motown to Off the Wall","SHOWTIME",": Season 1",,91,9,"Movie/Mini-Series","Documentary","February 5, 2016",33
"Homegrown: The Counter-Terror Dilemma","HBO",": Season 1",,80,,"Movie/Mini-Series","News/Documentary","February 8, 2016",6
"Becoming Mike Nichols","HBO",": Season 1",,80,,"Talk & Interview","Documentary","February 22, 2016",9
"Jackie Robinson","PBS",": Season 1",,90,,"Sports","Movie/Mini-Series","April 11, 2016",26
"O.J.: Made in America","ABC,ESPN",": Season 1",,75,8,"Sports","Movie/Mini-Series",,195
"Last Chance U","Netflix",": Season 1",,83,8.1,"News/Documentary","Documentary","July 29, 2016",39
"Frozen Planet","BBC,BBC One",": Season 1",,91,8.8,"Documentary","Science",,56
"Hopkins","ABC",": Season 1",,90,8.4,"Health & Lifestyle","Talk & Interview","June 26, 2008",37
"Spectacle: Elvis Costello With...","SUNDANCE,Sundance Channel,SundanceTV",": Season 1",,80,6.5,"Documentary","Music",,24
"Live for the Moment","CBS",": Season 1",40,75,,"Documentary",,"January 28, 2010",11
"Boston Med","ABC",": Season 1",,83,8,"Health & Lifestyle","Talk & Interview","June 24, 2010",35
"Circus","PBS",": Season 1",,91,,"Documentary",,"November 3, 2010",17
"Wartorn: 1861-2010","HBO",": Season 1",,90,,"Documentary",,"November 11, 2010",11
"Public Speaking","HBO",": Season 1",,80,7.8,"Documentary",,"November 22, 2010",13
"Human Planet ","Discovery,Discovery Channel,BBC One",": Season 1",,80,8.4,"Documentary","Science",,16
"Dark Matters: Twisted But True","Science Channel,The Science Channel,SCIENCE",": Season 1",,83,6.9,"Reality","Horror",,12
"Dinosaur Revolution","Discovery,Discovery Channel",": Season 1",58,70,,"Documentary","Science",,6
"Prohibition","PBS",": Season 1",,90,8.3,"Documentary",,"October 2, 2011",36
"George Harrison: Living in the Material World","HBO",": Season 1",,90,8,"Documentary",,"October 5, 2011",25
"Doomsday Preppers","National Geographic,Nat Geo",": Season 1",,70,6.6,"Reality","Documentary",,14
"On Freddie Roach","HBO",": Season 1",,91,7.7,"Sports","Reality","January 20, 2012",13
"NY Med","ABC",": Season 1",,80,7.4,"Documentary",,"July 10, 2012",20
"Breaking Pointe","The CW",": Season 1",,80,6.6,"Reality","Documentary","May 31, 2012",13
"American Gypsies","National Geographic",": Season 1",59,91,,"Reality","Documentary","July 17, 2012",12
"Catfish: The TV Show","MTV,MTV - Music Television",": Season 1",57,80,,"Reality","Documentary",,35
"Mankind: The Story of All of Us","The History Channel,History Channel",": Season 1",,88,,"Movie/Mini-Series","News/Documentary",,30
"The Dust Bowl","PBS",": Season 1",,91,7.4,"Documentary",,"November 18, 2012",28
"Newlyweds: The First Year","Bravo",": Season 1",54,75,,"Reality","Game Show","May 6, 2013",6
"Beyonce: Life Is But a Dream","HBO",": Season 1",57,83,6.9,"Movie/Mini-Series","Documentary","February 16, 2013",69
"Dominion","Syfy",": Season 1",47,75,8.1,"Fantasy","Science Fiction","June 19, 2014",192
"Alphas","Syfy",": Season 1",,91,7.1,"Fantasy",,"July 11, 2011",108
"The Quest","ABC",": Season 1",59,67,6.6,"Reality","Fantasy","July 31, 2014",25
"Warehouse 13","Syfy",": Season 2",,88,7.8,"Fantasy","Science Fiction","July 6, 2010",41
"Warehouse 13","Syfy",": Season 1",,80,7.5,"Fantasy","Science Fiction","July 7, 2009",111
"Downsized","WE,WE - Women's Entertainment",": Season 1",,80,,"Reality","Game Show",,8
"Teach: Tony Danza","A&E",": Season 1",,91,7,"Reality","Game Show","October 1, 2010",13
"Sarah Palin's Alaska","TLC",": Season 1",49,75,,"Reality","Game Show","November 14, 2010",45
"Bridalplasty","E!",": Season 1",,,,"Health & Lifestyle","Game Show","November 28, 2010",13
"Strange Days with Bob Saget","A&E",": Season 1",,,,"Reality","Game Show","November 30, 2010",9
"Million Dollar Money Drop","FOX",": Season 1",,75,,"Game Show",,"December 20, 2010",11
"The New Celebrity Apprentice","NBC",": Season 11",,75,,"Reality","Game Show","March 6, 2011",22
"Extreme Couponing ","TLC",": Season 1",,91,8.6,"Reality","Game Show","April 6, 2011",11
"The Voice ","NBC",": Season 1",58,75,7,"Reality","Game Show","April 26, 2011",112
"Gigolos","SHOWTIME",": Season 1",,,,"Reality","Game Show","April 7, 2011",20
"The World According to Paris","Oxygen",": Season 1",,,,"Reality","Game Show","June 1, 2011",25
"Love in the Wild","NBC",": Season 1",48,75,7.5,"Reality","Game Show","June 29, 2011",21
"Most Eligible Dallas","Bravo",": Season 1",,,,"Reality","Game Show","August 15, 2011",11
"All-American Muslim","TLC",": Season 1",,80,6.2,"Reality","Game Show","November 13, 2011",20
"Who's Still Standing?","NBC",": Season 1",47,75,,"Reality","Game Show","December 19, 2011",10
"The Great Escape","TNT",": Season 1",52,70,,"Game Show",,"June 24, 2012",10
"Here Comes Honey Boo Boo","TLC",": Season 1",46,91,,"Reality","Game Show","August 8, 2012",81
"American Bible Challenge","GSN - Game Show Network",": Season 1",,83,,"Game Show",,"August 23, 2012",16
"Breaking Amish","TLC",": Season 1",,91,6.4,"Reality","Game Show","September 9, 2012",18
"Amish Mafia","Discovery Channel",": Season 1",44,88,,"Reality","Game Show","December 11, 2012",35
"Immortalized","AMC",": Season 1",,,,"Reality","Game Show","February 14, 2013",10
"Freakshow","AMC",": Season 1",48,63,,"Reality","Game Show","February 14, 2013",9
"Here Comes Honey Boo Boo","TLC",": Season 2",,83,,"Reality","Game Show","July 17, 2013",31
"Wizard Wars","Syfy",": Season 1",,75,,"Game Show",,"August 19, 2014",9
"Jim Henson's Creature Shop Challenge","Syfy",": Season 1",,91,7,"Reality","Game Show","March 25, 2014",14
"The $100,000 Pyramid (2016)","ABC",": Season 1",,80,,"Game Show",,"June 26, 2016",7
"Match Game","ABC",": Season 1",,70,7.2,"Game Show",,"June 26, 2016",9
"The New Celebrity Apprentice","NBC",": Season 15",,,,"Reality","Game Show","January 2, 2017",28
"The Masked Singer","FOX",": Season 1",,80,,"Reality","Game Show","January 2, 2019",37
"The Triangle (2005)","Syfy",": Season 1",51,75,8.1,"Fantasy",,"December 5, 2005",32
"The Lost Room","Syfy",": Season 1",58,80,8.8,"Fantasy","Science Fiction","December 11, 2006",92
"Unan1mous","FOX",": Season 1",,88,,"Reality","Game Show","March 22, 2006",42
"Survival of the Richest","WB,The WB,TWB",": Season 1",,,7.4,"Reality","Game Show",,22
"Total Blackout","Syfy",": Season 1",53,83,8.4,"Reality","Game Show","April 25, 2012",9
"Survivor","CBS",": Season 1",,90,8,"Game Show",,"May 31, 2000",53
"Big Brother","CBS",": Season 1",,83,,"Game Show",,"July 5, 2000",53
"Big Brother","CBS",": Season 2",,,,"Game Show",,"July 5, 2001",24
"The Bachelor","ABC",": Season 1",,63,,"Reality","Game Show","March 25, 2002",17
"The Bachelorette","ABC",": Season 1",,80,,"Reality","Game Show","January 8, 2003",7
"America's Next Top Model","The CW,UPN,VH1",": Season 1",,83,7.2,"Reality","Health & Lifestyle",,21
"The New Celebrity Apprentice","NBC",": Season 1",57,83,,"Reality","Game Show","January 8, 2004",35
"The Apprentice: Martha Stewart","NBC",": Season 1",42,,,"Reality","Game Show","September 21, 2005",23
"Project Runway","LIFETIME,Bravo",": Season 1",,90,,"Reality","Health & Lifestyle",,20
"Run's House","MTV,MTV - Music Television",": Season 1",45,,8.7,"Reality","Game Show",,190
"Deal or No Deal","NBC",": Season 1",48,,8,"Game Show",,"December 19, 2005",384
"Rollergirls","A&E",": Season 1",59,80,7.1,"Sports","Reality","January 2, 2006",33
"Skating with Celebrities","FOX",": Season 1",49,75,,"Game Show",,"January 18, 2006",35
"Black.  White.","FX",": Season 1",,80,6.4,"Reality","Game Show","March 8, 2006",132
"Cheerleader Nation","LIFETIME",": Season 1",48,70,8.5,"Sports","Sports","March 12, 2006",92
"The Hill","SUNDANCE,Sundance Channel",": Season 1",,91,,"Reality","Game Show",,16
"1 vs 100","NBC,Disney Channel,GSN - Game Show Network",": Season 1",54,75,7.5,"Reality","Game Show",,42
"Twentyfourseven","MTV,MTV - Music Television",": Season 1",,,,"Reality","Game Show",,56
"Identity","NBC",": Season 1",,,8.4,"Reality","Game Show","December 18, 2006",86
"Top Design","Bravo",": Season 1",,91,,"Reality","Health & Lifestyle","January 31, 2007",39
"Kid Nation","CBS",": Season 1",53,80,6.3,"Reality","Game Show","September 19, 2007",45
"Project Runway","LIFETIME,Bravo",": Season 4",,91,7.2,"Reality","Health & Lifestyle",,27
"Wipeout","ABC",": Season 1",,70,7.3,"Game Show",,"June 24, 2008",51
"Greatest American Dog","CBS",": Season 1",50,75,,"Health & Lifestyle","Game Show","July 10, 2008",25
"Game Show in My Head","CBS",": Season 1",,,8.6,"Game Show",,"January 3, 2009",22
"Dating in the Dark","ABC",": Season 1",,83,8,"Reality","Game Show","July 20, 2009",21
"The Cougar","TV LAND",": Season 1",,75,,"Reality","Game Show","April 15, 2009",14
"More to Love","Vertex,FOX",": Season 1",54,75,,"Reality","Game Show",,35
"Househusbands of Hollywood","Fox Reality,FOX Reality Channel,FOXRC",": Season 1",53,70,,"Reality","Game Show",,12
"Project Runway","LIFETIME,Bravo",": Season 6",,91,6.6,"Reality","Health & Lifestyle",,31
"The New Celebrity Apprentice","NBC",": Season 10",,83,,"Reality","Game Show","September 16, 2010",14
"Bachelor Pad","ABC",": Season 1",48,75,,"Reality","Game Show","August 9, 2010",13
"Three Wishes","NBC",": Season 1",,75,8.3,"Health & Lifestyle",,"September 23, 2005",40
"The Talk","CBS",": Season 1",,,,"Health & Lifestyle","Talk & Interview","October 18, 2010",19
"American Horror Story","FX",": Season 6",,80,7.1,"Horror",,"September 14, 2016",305
"American Horror Story","FX",": Season 7",,83,,"Horror",,"September 5, 2017",217
"American Horror Story","FX",": Season 8",,80,7.4,"Horror",,"September 12, 2018",138
"Queer Eye (2018)","Netflix",": Season 1",,83,6.6,"Reality","Health & Lifestyle","February 7, 2018",76
"The Weight of the Nation","HBO",": Season 1",,80,,"Health & Lifestyle",,"May 14, 2012",16
"Tidying Up with Marie Kondo","Netflix",": Season 1",,87,,"Reality","Health & Lifestyle","January 1, 2019",25
"The Real Wedding Crashers","NBC",": Season 1",,,,"Reality","Health & Lifestyle","April 23, 2007",27
"State of Mind","LIFETIME",": Season 1",,80,8.3,"Health & Lifestyle","Talk & Interview","July 15, 2007",36
"American Horror Story","FX",": Season 5",60,75,7,"Horror",,"October 7, 2015",563
